City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
351,Gifford,US,90.0,few clouds,27.68,-80.41,SpringHill Suites by Marriott Vero Beach
354,Dumabato,PH,73.96,overcast clouds,16.32,121.7,JBT MOUNTAIN VIEW RECREATIONAL PLACE
355,Kikwit,CD,80.28,overcast clouds,-5.04,18.82,Centre D'Accueil Protestant
356,Palmer,US,90.0,broken clouds,42.16,-72.33,Wedgewood Motel
357,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
362,Vanimo,PG,78.03,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
363,Saint Anthony,US,82.99,broken clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
365,Arucas,ES,87.01,few clouds,28.12,-15.52,Hotel Melva Suite
369,Asfi,MA,75.67,few clouds,32.3,-9.24,Hôtel Abda
371,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
378,Bairiki,KI,82.4,broken clouds,1.33,172.98,Tarawa Boutique Hotel
379,Rock Springs,US,84.2,haze,41.59,-109.2,Homewood Suites by Hilton Rock Springs
380,Luanda,AO,71.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
383,Key Largo,US,91.0,clear sky,25.09,-80.45,Bayside Inn Key Largo
384,Birigui,BR,70.9,clear sky,-21.29,-50.34,Birigui Palace Hotel
386,Matay,EG,87.13,clear sky,28.42,30.78,Nag Aespen
387,Loandjili,CG,75.2,broken clouds,-4.76,11.86,Résidence ARCHANGE
388,Kandrian,PG,76.89,moderate rain,-6.22,149.55,Kandrian Station
390,Bandarbeyla,SO,76.87,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
392,Arboletes,CO,82.4,broken clouds,8.85,-76.43,Hotel Riviera Del Sol
394,Half Moon Bay,US,81.0,broken clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
395,Kulhudhuffushi,MV,83.26,clear sky,6.62,73.07,Haajy Guest House 1
402,Romilly-Sur-Seine,FR,73.4,overcast clouds,48.51,3.73,Auberge de Nicey
403,Duxbury,US,77.0,moderate rain,42.04,-70.67,Winsor House Inn
404,Galveston,US,95.0,scattered clouds,29.37,-94.97,Comfort Inn & Suites Texas City
406,Placido De Castro,BR,75.6,few clouds,-10.34,-67.19,Hotel Califórnia
407,Awbari,LY,87.82,clear sky,26.59,12.78,فندق أوباري
409,Fengxian,CN,72.5,clear sky,34.7,116.59,Tongrenju Hotel
410,Sungai Pelek,MY,77.0,few clouds,2.64,101.72,Art Space Homestay
412,Tateyama,JP,80.01,moderate rain,34.98,139.87,Tateyama Seaside Hotel
413,Port Hawkesbury,CA,73.99,clear sky,45.62,-61.35,Hearthstone Inn Port Hawkesbury
414,Oistins,BB,87.8,few clouds,13.07,-59.53,Butterfly Beach Hotel
415,Le Passage,FR,73.4,overcast clouds,44.2,0.6,Appart'City Agen Centre - Appart Hôtel
417,Avarua,CK,73.4,broken clouds,-21.21,-159.78,Paradise Inn
418,Ranong,TH,79.81,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
