City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Ampanihy,MG,-24.7,44.75,61.27,76,0,9.42,clear sky
186,Carnarvon,AU,-24.87,113.63,66.2,68,100,9.17,overcast clouds
187,Butaritari,KI,3.07,172.79,82.58,65,70,6.26,broken clouds
188,Adrar,MR,20.5,-10.07,106.92,8,15,7.34,few clouds
189,Mildura,AU,-34.2,142.15,42.8,100,75,8.05,broken clouds
190,Suleja,NG,9.18,7.18,73.11,89,17,0.81,few clouds
191,Chyhyryn,UA,49.08,32.66,65.53,66,0,8.16,clear sky
192,Timbiras,BR,-4.26,-43.94,92.98,39,98,2.19,overcast clouds
193,Cherskiy,RU,68.75,161.3,38.5,92,100,20.4,overcast clouds
194,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.8,83,75,13.87,broken clouds
195,Pevek,RU,69.7,170.31,38.59,97,100,5.84,light rain
196,Cockburn Town,TC,21.46,-71.14,84.04,81,100,23.64,overcast clouds
197,Formosa Do Rio Preto,BR,-11.05,-45.19,91.83,24,94,2.39,overcast clouds
198,Saint-Pierre,RE,-21.34,55.48,66.2,68,0,9.17,clear sky
199,Bethel,US,41.37,-73.41,90.0,40,1,8.05,clear sky
200,Skibbereen,IE,51.55,-9.27,59.0,82,75,14.99,broken clouds
201,Angoche,MZ,-16.23,39.91,71.96,77,28,11.43,scattered clouds
202,Aleksandrov Gay,RU,50.15,48.57,64.78,51,83,8.99,broken clouds
203,Arraial Do Cabo,BR,-22.97,-42.03,68.0,60,75,12.75,broken clouds
204,Cotonou,BJ,6.37,2.42,75.96,87,43,9.91,scattered clouds
205,Muisne,EC,0.6,-80.03,80.6,74,75,9.17,broken clouds
206,Rawson,AR,-43.3,-65.1,65.91,26,0,9.22,clear sky
207,Mnogovershinnyy,RU,53.94,139.92,45.88,94,94,2.01,overcast clouds
208,Saint George,US,37.1,-113.58,98.01,30,1,4.7,clear sky
209,Nacogdoches,US,31.6,-94.63,93.99,43,1,6.93,clear sky
210,Ambilobe,MG,-13.2,49.05,68.88,70,63,6.71,broken clouds
