City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
285,Lappeenranta,FI,2020-08-19 01:27:33,61.06,28.19,51.01,100,2,2.24
286,Zhangye,CN,2020-08-19 01:27:34,38.93,100.45,74.84,26,0,5.59
287,Bose,IT,2020-08-19 01:27:34,45.46,8.01,69.01,73,0,8.01
288,Rantauprapat,ID,2020-08-19 01:27:34,2.1,99.83,78.31,84,98,1.25
289,Carmelo,UY,2020-08-19 01:27:35,-33.99,-58.29,57.2,43,1,5.82
290,Ostrovnoy,RU,2020-08-19 01:27:35,68.05,39.51,43.54,81,0,6.49
291,Taksimo,RU,2020-08-19 01:27:35,56.34,114.88,59.74,49,0,2.04
292,Richards Bay,ZA,2020-08-19 01:27:35,-28.78,32.04,56.75,49,0,7.9
293,Port Lincoln,AU,2020-08-19 01:27:35,-34.73,135.87,56.91,65,0,24.67
294,Telenesti,MD,2020-08-19 01:27:36,47.5,28.37,68.0,52,18,5.82
295,Port Augusta,AU,2020-08-19 01:23:11,-32.5,137.77,57.2,67,40,19.46
296,Biak,ID,2020-08-19 01:27:37,-0.91,122.88,80.06,64,11,8.5
297,Saint-Philippe,RE,2020-08-19 01:27:37,-21.36,55.77,62.6,77,75,3.36
298,San Patricio,MX,2020-08-19 01:22:43,19.22,-104.7,77.0,94,90,5.82
299,Oum Hadjer,TD,2020-08-19 01:27:37,13.3,19.7,78.35,78,75,5.93
300,Wajima,JP,2020-08-19 01:27:37,37.4,136.9,84.2,70,40,3.36
301,Atar,MR,2020-08-19 01:27:38,20.52,-13.05,94.33,30,0,10.0
302,Siaya,KE,2020-08-19 01:27:38,0.06,34.29,69.8,77,75,5.53
303,Zhanakorgan,KZ,2020-08-19 01:27:38,43.91,67.25,59.27,43,0,0.36
304,Sabang,ID,2020-08-19 01:23:19,5.89,95.32,82.18,75,100,6.24
